Critic reviews,Duration,Main actor Fb likes,Gross,Num voted users,Cast total FB likes,User reviews,Budget,Title year,Imdb score,Movie FB likes
0,0.762127982,0.915458214,0.533668169,0.487582229,0.871395268,0.47068342,0.588208115,0.604704208,0.661007601,0.285945656
0.762127982,0,0.993154693,0.738672486,0.616387689,0.966549645,0.589489949,0.766159114,0.77255567,0.548032689,0.759492816
0.915458214,0.993154693,0,0.908579569,0.876855472,0.011374188,0.917480047,0.944715055,0.95358343,0.928992747,0.95826697
0.533668169,0.738672486,0.908579569,0,0.431376897,0.848236399,0.522435544,0.356878195,0.950820982,0.759927444,0.599492991
0.487582229,0.616387689,0.876855472,0.431376897,0,0.83957638,0.19370686,0.693956965,0.9664568243,0.4781056,0.461722807
0.871395268,0.966549645,0.011374188,0.848236399,0.83957638,0,0.892785565,0.890875362,0.937091822,0.91787236,0.908223603
0.47068342,0.589489949,0.917480047,0.522435544,0.19370686,0.892785565,0,0.673082428,0.96632875,0.589781797,0.587514703
0.588208115,0.766159114,0.944715055,0.356878195,0.693956965,0.890875362,0.673082428,0,0.781616452,0.975127371,0.742569672
0.604704208,0.77255567,0.95358343,0.950820982,0.9664568243,0.937091822,0.96632875,0.781616452,0,0.84102234,0.723315135
0.661007601,0.548032689,0.928992747,0.759927444,0.4781056,0.91787236,0.589781797,0.975127371,0.84102234,0,0.69075472
0.285945656,0.759492816,0.95826697,0.599492991,0.461722807,0.908223603,0.587514703,0.742569672,0.723315135,0.69075472,0
