Num Reviews (Critics)
Duration
Main actor facebook likes
Gross
Num voted users
Total cast facebook likes
Num Reviews (Users)
Language
Country
 Content rating
Budget
Title year
Imdb score
Aspect ratio
Movie facebook likes
